,Names,Values
0,Outros lançamentos ,2970.13
1,"2.970,13 ",2970.13
2,"2.970,13 ",2574.55
3,"2.574,55 ",6.17
4,Neliana da Cunha Anton ,5.0
5,Zara - 3/3 ,146.5
6,Mlp*Magazineluiza - 3/10 ,59.99
7,Outlet - 2/3 ,109.99
8,Pag*Lojasrennersa - 4/4 ,69.95
9,Pag*Lojasrennersa - 2/5 ,99.94
10,Pagamento em 05 JUL ,2970.13
11,Uber *Uber *Trip ,29.97
12,Uber *Uber *Trip ,10.92
13,Uber *Uber *Trip ,14.15
14,Viacaocometa*1wmnxeiy ,273.18
15,Uber *Uber *Trip ,19.97
16,Sua Academia ,132.5
17,Uber *Uber *Trip ,7.94
18,Uber *Uber *Trip ,22.99
19,Uber *Uber *Trip ,24.99
20,Shopee*Shopee ,36.94
21,Uber *Uber *Trip ,6.65
22,Google Youtubepremium ,34.9
23,Google Storage ,9.99
24,D Burger Campinas Driv ,10.9
25,Uber *Uber *Trip ,54.94
26,Uber *Uber *Trip ,24.98
27,Ifood *Ifd*Mcdonalds ,247.49
28,Tim*93577a2ea03db ,25.0
29,Uber *Uber *Trip ,19.91
30,Uber *Uber *Trip ,21.94
31,Uber *Uber *Trip ,13.97
32,Uber *Uber *Trip ,6.17
33,Uber *Uber *Trip ,24.97
34,Uber *Uber *Trip ,19.92
35,Mp *Pagtesouropag ,7.23
36,Uber *Uber *Trip ,14.51
37,Ingresso.Com ,239.95
38,Uber *Uber *Trip ,14.98
39,"Estorno de ""Uber *Uber *Trip"" ",6.17
40,Uber *Uber *Trip ,24.91
41,Ifood *Ifd*Mini Kalz ,158.94
42,Uber *Uber *Trip ,19.94
43,Uber *Uber *Trip ,19.99
44,Uber *Uber *Trip ,8.97
45,Ifood *Ifd*Distribui ,39.84
46,Uber *Trip Help.Uber.C ,29.94
47,Amazonprimebr ,14.9
48,Uber *Trip Help.Uber.C ,29.98
49,Apple.Com/Bill ,3.5
50,Tim*Gigabp3bsjbeg ,61.99
51,Amazon Music ,8.9
52,Uber *Uber *Trip ,13.91
53,Uber *Uber *Trip ,12.96
54,Ifood *Ifd*Starbucks ,29.04
55,Uber *Uber *Trip ,21.98
56,Uber *Uber *Trip ,24.99
57,Uber *Uber *Trip ,34.96
58,Ifood *Ifd*Mcdonalds ,136.69
59,Apple.Com/Bill ,14.9
